"Tb" "SEX" "AgeClass" "LengthCT"
"1" 0 1 1 46.5
"2" 0 2 1 47
"3" 0 1 1 48
"4" 0 1 1 51.5
"5" 0 2 1 53
"6" 0 2 1 53
"7" 0 2 1 53.5
"8" 0 2 1 61.8
"9" 0 2 1 62.5
"10" 0 1 1 67.8
"11" 1 2 1 68
"12" 1 2 1 68.1
"13" 0 1 2 68.5
"14" 0 2 1 70
"15" 0 1 2 72.5
"16" 0 2 2 78
"17" 1 1 2 79
"18" 0 2 2 79
"19" 0 2 2 80
"20" 1 1 2 81
"21" 0 2 2 81
"22" 0 2 2 81.4
"23" 1 1 2 81.5
"24" 0 1 2 81.8
"25" 1 NA 2 83
"26" 0 1 2 83
"27" 0 1 2 83
"29" 1 1 2 84
"30" 0 1 2 84
"31" 0 2 3 84
"32" 0 2 2 84
"33" 0 2 2 84.4
"34" 1 2 2 84.5
"35" 0 1 2 84.5
"36" 1 1 2 85
"37" 0 1 2 85.5
"38" 1 2 2 86
"39" 1 2 2 86
"40" 0 2 2 86.4
"42" 0 1 2 87
"43" 0 2 2 87
"44" 0 1 2 87.2
"45" 0 2 2 87.6
"46" 0 2 2 87.8
"47" 1 NA 2 88
"48" 0 2 2 88.2
"49" 1 2 2 89
"50" 0 1 2 89
"51" 0 2 2 90
"52" 0 2 2 90.5
"53" 0 1 2 91.5
"55" 0 1 2 92
"56" 0 2 3 92
"57" 0 2 2 92
"58" 0 1 2 92
"59" 0 1 2 92
"60" 0 1 2 92
"61" 0 1 2 92.3
"62" 1 2 2 92.5
"63" 0 2 2 92.5
"64" 1 1 2 92.8
"65" 1 2 2 93
"66" 0 2 2 93
"69" 0 1 2 95
"70" 0 2 2 95
"71" 0 2 2 95
"73" 0 2 2 95.7
"74" 0 NA 2 96
"75" 0 2 2 96.4
"76" 1 1 2 96.5
"77" 0 2 2 96.5
"78" 0 2 2 96.5
"79" 0 NA 2 96.5
"80" 0 1 2 96.8
"81" 0 2 2 97.5
"82" 0 1 2 98
"83" 0 2 2 98
"85" 1 2 2 99
"86" 0 2 2 99
"87" 0 1 2 99
"88" 0 1 2 99
"89" 0 2 3 99
"90" 0 2 3 99
"91" 0 2 2 99
"92" 1 1 2 99.2
"93" 0 1 2 99.5
"94" 1 1 2 99.8
"95" 1 2 3 100
"96" 1 2 2 100
"97" 0 1 2 100
"98" 0 2 2 100
"99" 0 1 2 100
"100" 0 1 2 100.3
"101" 0 2 2 100.9
"103" 1 2 3 101
"104" 1 1 2 101
"105" 0 1 2 101
"106" 0 2 2 101
"107" 0 1 2 101
"108" 0 2 2 101
"109" 0 1 3 101.4
"110" 0 1 3 101.5
"113" 0 1 2 102
"114" 0 1 2 102
"115" 0 2 2 102
"116" 0 2 3 102
"118" 0 2 3 103
"119" 0 2 2 103.2
"120" 1 1 3 104
"121" 1 1 2 104
"122" 0 1 3 104
"123" 0 2 3 104
"124" 0 1 2 104.5
"126" 1 2 4 105
"127" 0 1 2 105
"128" 0 NA 3 105
"129" 1 2 3 105.3
"130" 0 1 2 105.4
"132" 1 1 2 105.8
"133" 1 1 2 105.9
"136" 1 2 2 106
"137" 0 2 3 106
"138" 0 2 2 106
"139" 0 2 3 106
"140" 0 2 2 106
"141" 1 NA 3 106.2
"142" 1 2 3 106.5
"143" 1 NA 3 106.5
"144" 1 1 2 106.5
"145" 1 2 3 107
"146" 1 NA 2 107
"147" 0 1 3 107
"148" 0 2 2 107
"149" 0 1 3 107
"150" 0 1 3 107
"151" 0 1 2 107
"152" 0 2 3 107
"153" 0 2 3 107
"154" 0 2 2 107
"155" 0 1 3 107.5
"156" 0 1 2 107.5
"157" 0 2 2 107.8
"158" 1 1 3 108
"159" 1 1 3 108
"160" 1 1 3 108
"161" 1 2 3 108
"162" 0 2 3 108
"163" 0 2 2 108
"164" 0 1 3 108.5
"165" 0 1 2 108.5
"166" 1 1 3 108.7
"168" 1 NA 3 109
"170" 0 2 2 109.5
"171" 1 2 3 110
"172" 0 1 3 110
"173" 0 1 3 110.5
"174" 1 1 3 110.6
"175" 0 1 2 110.8
"176" 1 1 3 111.5
"177" 0 2 3 111.5
"179" 1 2 3 112
"180" 0 1 3 112
"181" 0 NA 3 112
"182" 0 NA 3 112
"183" 0 1 3 112
"184" 0 1 3 112
"185" 0 1 3 112
"186" 1 2 3 112.4
"187" 1 1 3 113
"188" 1 2 3 113
"189" 0 1 3 113
"190" 0 2 3 113
"191" 1 1 3 113.5
"192" 1 2 3 113.5
"193" 0 1 3 113.5
"195" 1 1 3 114
"196" 1 2 3 114
"197" 1 2 3 114
"198" 1 2 2 114
"199" 1 2 3 114
"200" 1 2 3 114
"201" 0 2 3 114
"202" 0 2 3 114
"203" 0 2 3 114
"204" 0 2 3 114
"205" 1 2 3 114.5
"206" 1 1 3 115
"207" 0 NA 3 115
"208" 0 2 3 115
"209" 0 2 3 115.5
"210" 0 2 3 115.8
"212" 1 2 3 116
"213" 1 2 3 116
"214" 0 2 3 116
"215" 0 2 3 116.5
"216" 0 2 3 116.5
"217" 1 2 3 117
"218" 0 2 3 117
"219" 0 2 3 117
"220" 0 1 3 117
"221" 0 2 3 117
"222" 0 1 3 117
"223" 0 2 3 117
"224" 0 2 3 117.4
"226" 1 1 3 118
"227" 1 2 3 118
"228" 1 2 3 118
"229" 1 2 3 118
"230" 0 2 3 118
"231" 0 2 3 118
"232" 0 2 3 118
"233" 0 2 3 118
"234" 0 1 3 118.3
"236" 1 1 3 118.5
"237" 1 2 3 118.5
"238" 0 1 3 118.5
"239" 1 2 3 118.6
"240" 0 2 3 118.8
"241" 0 2 3 118.9
"242" 1 2 4 119
"243" 1 2 3 119
"244" 1 1 3 119
"245" 1 2 4 119
"246" 1 2 3 119
"247" 1 2 3 119
"248" 0 1 3 119
"249" 0 1 3 119
"250" 1 1 3 119.3
"251" 1 2 3 119.5
"252" 1 2 3 119.5
"253" 0 1 3 119.5
"254" 0 1 3 119.5
"255" 0 2 3 119.8
"259" 1 1 3 120
"260" 1 2 3 120
"261" 1 1 3 120
"262" 1 1 3 120
"263" 1 2 3 120
"264" 1 2 3 120
"265" 0 1 3 120
"266" 0 2 4 120
"267" 0 2 3 120
"268" 1 1 3 120.5
"269" 1 2 3 120.5
"270" 0 2 3 120.5
"271" 0 1 3 120.5
"272" 0 1 3 120.5
"273" 1 1 4 121
"274" 1 1 3 121
"275" 0 1 3 121
"276" 0 2 3 121
"277" 0 2 3 121
"278" 0 2 4 121
"280" 1 1 3 121.5
"281" 0 1 4 121.5
"283" 1 1 3 122
"284" 1 2 3 122
"285" 1 2 2 122
"286" 1 2 3 122
"287" 0 1 3 122
"288" 0 2 3 122
"289" 0 1 3 122
"290" 0 2 3 122
"291" 1 2 4 122.3
"292" 1 1 3 122.5
"294" 0 1 3 122.8
"295" 1 2 3 123
"296" 1 1 3 123
"297" 0 1 3 123
"298" 0 2 3 123
"299" 0 1 3 123
"300" 0 2 4 123
"301" 0 2 3 123
"302" 0 2 3 123
"303" 0 2 3 123
"304" 1 2 3 123.2
"306" 0 1 3 123.5
"307" 0 2 4 123.5
"308" 1 1 3 123.7
"309" 1 1 3 124
"310" 1 1 3 124
"311" 1 2 3 124
"312" 0 1 3 124
"313" 0 2 3 124
"314" 0 1 4 124
"315" 0 2 4 124
"316" 0 2 4 124
"317" 0 2 3 124
"318" 1 2 3 124.5
"319" 1 1 4 124.5
"320" 1 2 3 124.5
"321" 0 2 3 124.5
"322" 1 2 4 124.8
"323" 0 2 3 124.9
"325" 1 2 3 125
"326" 1 2 3 125
"327" 1 1 4 125
"328" 1 2 4 125
"329" 1 NA 3 125
"330" 0 2 4 125
"331" 0 2 3 125
"332" 0 2 3 125
"333" 0 2 3 125
"334" 0 2 3 125
"335" 0 2 3 125
"336" 0 2 3 125.2
"337" 1 2 4 125.5
"338" 1 2 3 125.5
"339" 1 2 3 125.5
"340" 0 1 3 125.5
"341" 0 2 4 125.5
"342" 1 1 4 125.6
"344" 1 1 3 126
"345" 1 2 4 126
"346" 1 2 4 126
"347" 1 1 3 126
"348" 1 1 3 126
"349" 0 1 3 126
"350" 0 2 4 126
"351" 0 2 3 126
"352" 1 2 4 126.2
"353" 0 2 3 126.5
"355" 1 1 4 127
"356" 1 1 3 127
"357" 1 2 4 127
"358" 1 2 4 127
"359" 1 2 4 127
"360" 1 2 4 127
"361" 1 2 3 127
"362" 1 2 4 127
"363" 1 1 4 127
"364" 1 1 4 127
"365" 1 1 3 127
"366" 1 2 4 127
"367" 1 2 4 127
"368" 1 2 4 127
"369" 0 1 4 127
"370" 0 2 4 127
"371" 0 2 4 127
"372" 0 1 4 127
"373" 0 2 4 127
"374" 0 2 3 127
"375" 1 2 4 127.4
"376" 1 2 3 127.5
"377" 1 2 3 127.5
"378" 0 2 4 127.5
"380" 1 2 4 128
"381" 1 2 4 128
"382" 1 1 4 128
"383" 1 2 3 128
"384" 0 1 4 128
"385" 0 2 4 128
"386" 0 2 4 128
"387" 0 2 4 128
"388" 0 2 3 128
"389" 0 1 4 128
"390" 0 2 4 128
"391" 0 2 4 128
"392" 0 2 3 128
"393" 0 2 3 128
"394" 1 1 4 128.3
"395" 1 1 3 128.5
"396" 0 2 4 128.5
"397" 0 2 4 128.5
"398" 1 2 4 128.7
"399" 0 2 4 128.7
"400" 1 2 4 128.8
"402" 1 1 4 129
"403" 1 2 4 129
"404" 1 2 4 129
"405" 1 1 4 129
"406" 1 2 4 129
"407" 1 2 4 129
"408" 0 1 4 129
"409" 0 2 4 129
"410" 1 2 4 129.3
"411" 1 2 4 129.7
"412" 0 2 4 129.8
"413" 1 1 4 130
"414" 1 2 4 130
"415" 1 2 4 130
"416" 1 2 4 130
"417" 0 2 4 130
"419" 1 1 4 130.5
"420" 0 NA 4 130.5
"421" 0 1 4 130.5
"422" 1 1 4 131
"423" 1 1 4 131
"424" 1 1 4 131
"425" 1 2 4 131
"426" 1 2 4 131
"427" 1 1 4 131
"428" 1 1 4 131
"429" 1 1 4 131
"430" 1 2 4 131
"431" 1 2 4 131
"432" 1 2 4 131
"433" 0 1 4 131
"434" 0 1 4 131
"435" 0 2 4 131
"436" 0 2 4 131
"437" 0 2 4 131.3
"438" 1 1 3 131.5
"439" 1 2 4 131.5
"440" 1 1 4 131.5
"441" 1 2 4 131.5
"442" 0 2 4 131.5
"443" 0 2 4 131.5
"445" 1 1 4 132
"446" 0 2 4 132
"447" 0 2 4 132
"448" 0 2 4 132
"449" 0 1 4 132
"450" 0 2 4 132
"451" 1 2 4 132.2
"452" 1 2 4 132.3
"453" 1 1 4 132.5
"454" 1 2 4 132.5
"455" 1 2 4 132.5
"456" 0 2 4 133
"457" 0 1 4 133
"458" 0 2 4 133
"459" 0 1 4 133
"460" 1 2 4 133.5
"461" 1 2 4 133.8
"462" 1 1 4 134
"463" 1 2 4 134
"464" 1 1 4 134
"465" 0 1 4 134
"466" 0 1 4 134
"467" 0 2 4 134
"469" 1 1 4 135
"470" 1 2 4 135
"471" 1 2 4 135
"472" 1 2 4 135
"473" 0 2 4 135
"474" 0 1 4 135
"475" 0 2 4 135
"476" 0 2 4 135
"477" 0 2 4 135
"478" 1 2 4 135.2
"479" 1 1 4 135.5
"480" 1 1 4 135.5
"481" 1 1 4 135.5
"482" 1 2 4 135.5
"483" 1 1 4 136
"484" 1 2 4 136
"485" 1 2 4 136
"486" 1 2 4 136
"487" 0 2 4 136
"488" 0 1 4 136
"489" 0 2 4 136
"491" 0 1 4 136.5
"492" 0 2 4 136.8
"493" 1 1 4 137
"494" 1 2 4 137
"495" 1 2 4 137
"496" 0 1 4 137
"497" 0 2 4 137
"498" 0 2 4 137.3
"500" 1 1 4 138
"501" 1 2 4 138
"502" 1 2 4 138
"503" 0 2 4 138
"504" 0 2 4 138
"505" 1 2 4 138.2
"506" 0 1 4 138.5
"507" 0 1 4 138.5
"508" 1 1 4 139
"509" 1 1 4 140
"510" 1 1 4 140
"511" 1 2 4 140
"512" 1 1 4 140
"513" 1 1 4 140
"514" 1 1 4 140
"515" 0 2 4 140
"516" 0 2 4 140
"517" 0 2 4 140
"518" 0 2 4 140
"519" 1 1 4 141
"520" 1 1 4 141
"521" 1 2 4 141
"522" 1 2 4 141
"523" 0 1 4 141
"524" 1 1 4 141.5
"525" 1 1 4 141.5
"526" 1 1 4 142
"527" 1 2 4 142
"528" 1 1 4 142
"529" 1 1 4 142
"530" 0 2 4 142
"531" 0 2 4 142
"532" 1 2 4 143
"533" 1 2 4 143
"534" 1 1 4 143
"535" 1 1 4 143
"536" 1 1 4 143
"537" 0 1 4 143
"538" 1 1 4 144
"539" 1 1 4 144
"540" 0 1 4 144
"541" 1 1 4 145
"542" 0 1 4 146
"543" 0 1 4 146
"544" 1 1 4 147
"545" 0 1 4 147
"546" 0 1 4 154
"547" 1 1 4 165
